Dataset,Model,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,RW,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,DIR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,AD,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,PR,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,EO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,CEO,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI,ROC,Acc,F1,DI,SPD,EOD,AOD,ERD,CNT,TI
,6,0.869,0.304,0.731,0.084,0.142,0.106,0.068,-0.147,0.08,,0.868,0.294,0.662,0.076,0.143,0.106,0.052,-0.146,0.08,,0.859,0.249,0.718,0.082,0.115,0.094,0.075,-0.153,0.087,,0.499,0.148,0.676,-0.0,-0.0,-0.0,0.0,-0.0,0.049,,0.919,0.304,0.731,0.0,0.0,0.0,0.031,-0.0,0.084,,0.919,0.001,0.656,0.0,0.0,0.0,0.031,-0.0,0.084,,0.873,0.219,0.104,0.008,-0.046,-0.019,0.034,-0.12,0.088,,0.859,0.249,0.718,0.082,0.115,0.094,0.075,-0.153,0.087
,7,0.912,0.216,0.948,0.493,0.059,0.065,0.044,-1.294,0.039,,0.911,0.206,0.83,0.49,0.057,0.065,0.031,-1.294,0.039,,0.909,0.145,1.114,0.488,0.049,0.055,0.044,-1.264,0.042,,0.541,0.155,0.068,0.531,0.02,0.026,0.015,-1.243,0.014,,0.919,0.216,0.948,0.5,0.0,0.0,0.015,-1.24,0.042,,0.909,0.082,0.399,0.482,-0.009,-0.033,0.009,-1.241,0.043,,0.911,0.124,0.707,0.485,0.022,0.02,0.026,-1.26,0.042,,0.898,0.195,0.969,0.49,0.07,0.078,0.059,-1.282,0.042
,8,0.658,0.237,0.373,0.432,0.129,0.113,0.115,-1.38,0.044,,0.657,0.232,0.35,0.428,0.125,0.113,0.116,-1.38,0.044,,0.607,0.223,0.391,0.415,0.155,0.141,0.144,-1.428,0.043,,0.5,0.075,-0.172,0.5,0.0,0.0,-0.017,-1.23,0.006,,0.919,0.237,0.373,0.5,0.0,0.0,0.017,-1.231,0.042,,0.919,0.0,0.645,0.5,-0.0,-0.0,0.017,-1.231,0.042,,0.616,0.222,0.327,0.397,0.115,0.098,0.113,-1.42,0.043,,0.898,0.152,1.158,0.486,0.067,0.07,0.057,-1.237,0.042
titanic,1,0.79,0.693,-2.381,-0.684,-0.655,-0.556,-0.054,-0.333,0.178,,0.638,0.468,-1.778,-0.519,-0.655,-0.556,-0.024,-0.333,0.178,,0.791,0.69,-2.166,-0.619,-0.576,-0.467,-0.061,-0.294,0.182,,0.642,0.438,-0.292,-0.077,0.042,0.023,-0.23,-0.103,0.308,,0.789,0.701,-2.139,-0.667,-0.649,-0.526,-0.019,-0.315,0.171,,0.626,0.032,-0.643,-0.005,0.005,0.004,-0.508,-0.011,0.468,,0.78,0.717,-2.526,-0.918,-0.762,-0.86,-0.094,-0.385,0.144,,0.67,0.522,-0.124,-0.038,0.123,0.145,-0.12,-0.237,0.253
,2,0.792,0.733,-1.663,-0.676,-0.561,-0.508,0.014,-0.282,0.138,,0.674,0.578,-1.184,-0.492,-0.526,-0.492,-0.077,-0.273,0.135,,0.787,0.715,-1.583,-0.599,-0.469,-0.425,-0.039,-0.254,0.156,,0.582,0.594,-0.333,-0.143,0.018,-0.029,0.145,-0.054,0.141,,0.792,0.71,-2.321,-0.727,-0.704,-0.607,-0.027,-0.236,0.164,,0.621,0.039,-0.629,-0.005,0.01,-0.0,-0.561,-0.015,0.476,,0.776,0.718,-1.711,-0.731,-0.529,-0.617,-0.072,-0.266,0.141,,0.643,0.579,-0.087,-0.041,0.061,0.186,0.085,-0.237,0.201
,3,0.817,0.74,-2.142,-0.696,-0.622,-0.531,-0.042,-0.327,0.14,,0.682,0.521,-1.69,-0.523,-0.624,-0.53,-0.061,-0.323,0.155,,0.811,0.713,-2.083,-0.593,-0.54,-0.409,-0.07,-0.269,0.163,,0.674,0.552,-0.497,-0.198,-0.082,-0.027,-0.076,-0.104,0.229,,0.805,0.719,-2.48,-0.74,-0.68,-0.625,-0.083,-0.317,0.153,,0.634,0.026,-0.622,-0.005,-0.004,-0.0,-0.575,-0.013,0.453,,0.806,0.749,-2.471,-0.914,-0.744,-0.846,-0.086,-0.376,0.118,,0.598,0.572,-0.081,-0.045,-0.028,0.156,0.252,-0.348,0.163
,4,0.804,0.724,-2.428,-0.779,-0.652,-0.662,-0.089,-0.334,0.15,,0.641,0.505,-1.917,-0.673,-0.652,-0.662,-0.17,-0.334,0.15,,0.806,0.73,-2.374,-0.79,-0.674,-0.67,-0.067,-0.337,0.144,,0.64,0.4,-0.451,-0.106,-0.087,-0.033,-0.246,-0.072,0.327,,0.819,0.731,-2.37,-0.687,-0.641,-0.517,-0.037,-0.292,0.153,,0.634,0.03,-0.682,-0.005,-0.0,0.002,-0.554,-0.011,0.453,,0.802,0.73,-2.42,-0.833,-0.697,-0.731,-0.078,-0.336,0.14,,0.631,0.521,-0.12,-0.048,0.029,0.118,-0.014,-0.313,0.233
,5,0.797,0.728,-2.41,-0.751,-0.654,-0.616,-0.048,-0.349,0.162,,0.632,0.505,-1.819,-0.608,-0.654,-0.616,-0.087,-0.349,0.162,,0.794,0.72,-2.145,-0.686,-0.544,-0.535,-0.077,-0.349,0.167,,0.647,0.335,-0.705,-0.15,-0.158,-0.089,-0.297,-0.033,0.372,,0.806,0.726,-3.522,-0.788,-0.796,-0.657,-0.008,-0.324,0.173,,0.618,0.082,-0.405,-0.001,0.072,0.024,-0.552,-0.03,0.478,,0.795,0.748,-2.39,-0.903,-0.692,-0.824,-0.073,-0.404,0.133,,0.665,0.578,-0.094,-0.039,0.097,0.181,-0.017,-0.294,0.225
,6,0.81,0.729,-1.904,-0.653,-0.616,-0.463,0.02,-0.298,0.14,,0.7,0.551,-1.411,-0.448,-0.616,-0.463,0.027,-0.298,0.14,,0.796,0.724,-1.568,-0.609,-0.421,-0.401,-0.031,-0.335,0.134,,0.649,0.504,-0.527,-0.193,-0.01,-0.069,-0.167,-0.08,0.247,,0.835,0.754,-2.475,-0.713,-0.599,-0.52,-0.055,-0.319,0.136,,0.637,0.021,-0.666,-0.005,-0.01,-0.009,-0.57,-0.013,0.448,,0.785,0.735,-1.82,-0.831,-0.549,-0.715,-0.063,-0.396,0.107,,0.617,0.572,-0.069,-0.037,0.068,0.188,0.169,-0.393,0.168
,7,0.835,0.767,-2.378,-0.707,-0.615,-0.514,-0.041,-0.315,0.136,,0.715,0.574,-1.693,-0.511,-0.615,-0.514,-0.036,-0.315,0.136,,0.839,0.777,-2.225,-0.714,-0.546,-0.509,-0.06,-0.325,0.126,,0.679,0.511,-0.553,-0.164,0.032,-0.006,-0.251,-0.073,0.279,,0.832,0.773,-2.234,-0.73,-0.636,-0.543,-0.019,-0.329,0.128,,0.632,0.155,-0.091,0.004,0.217,0.061,-0.612,-0.066,0.44,,0.83,0.783,-2.296,-0.842,-0.588,-0.692,-0.094,-0.381,0.11,,0.683,0.582,-0.117,-0.043,0.229,0.221,-0.094,-0.247,0.217
,8,0.799,0.695,-2.303,-0.661,-0.627,-0.523,-0.056,-0.301,0.173,,0.658,0.484,-1.685,-0.483,-0.627,-0.523,-0.011,-0.301,0.173,,0.794,0.701,-2.033,-0.658,-0.587,-0.516,-0.053,-0.304,0.164,,0.685,0.503,-0.502,-0.136,-0.024,0.009,-0.195,-0.09,0.275,,0.808,0.717,-2.492,-0.717,-0.675,-0.572,-0.05,-0.309,0.16,,0.633,0.026,-0.677,-0.005,0.01,0.001,-0.539,-0.012,0.455,,0.776,0.699,-2.342,-0.841,-0.714,-0.763,-0.096,-0.357,0.153,,0.648,0.59,-0.085,-0.042,-0.001,0.177,0.157,-0.32,0.178
